Product Name,File Path,Config file name,Type,Search Provider Used,Content Delivery (CD),Content Management (CM),Processing,CM + Processing,Reporting,Reporting Client
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Azure.IndexConfiguration.config.disabled,config,Azure is used,Enable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.Taxonomy.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Marketing.TaxonomyCD.config.disabled,config,,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.MarketingCD.config.disabled,config,,Enable,Disable,Disable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.MarketingProcessingRole.config.disabled,config,,Disable,Disable,Enable,Disable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.MarketingReportingRole.config.disabled,config,,Disable,Disable,Disable,Disable,Enable,n/a
Platform,\website\App_Config\Include,Sitecore.Media.RequestProtection.config,config,,Enable,Enable,Disable,Enable,Disable,n/a
Platform - MVC,\website\App_Config\Include,Sitecore.Mvc.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform - MVC,\website\App_Config\Include,Sitecore.MvcAnalytics.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform - MVC,\website\App_Config\Include,Sitecore.MvcExperienceEditor.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform - MVC,\website\App_Config\Include,Sitecore.MvcSimulator.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Path Analyzer,\website\App_Config\Include,Sitecore.PathAnalyzer.Client.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
Path Analyzer,\website\App_Config\Include,Sitecore.PathAnalyzer.config,config,,Disable,Enable,Enable,Enable,Enable,n/a
Path Analyzer,\website\App_Config\Include,Sitecore.PathAnalyzer.Processing.config,config,,Disable,Disable,Enable,Enable,Disable,n/a
Path Analyzer,\website\App_Config\Include,Sitecore.PathAnalyzer.RemoteClient.config.disabled,config,,Disable,Disable,Disable,Disable,Disable,Enable
Path Analyzer,\website\App_Config\Include,Sitecore.PathAnalyzer.Services.config,config,,Disable,Enable,Disable,Enable,Enable,n/a
Path Analyzer,\website\App_Config\Include,Sitecore.PathAnalyzer.Services.RemoteServer.config.disabled,config,,Disable,Disable,Disable,Disable,Enable,n/a
Path Analyzer,\website\App_Config\Include,Sitecore.PathAnalyzer.StorageProviders.config,config,,Disable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\Include,Sitecore.PipelineProfiling.config.disabled,config,,Disable,Disable,Disable,Disable,Disable,n/a
Platform,\website\App_Config\Include,Sitecore.Processing.config,config,,Disable,Enable,Enable,Enable,Disable,n/a
Platform - Publishing,\website\App_Config\Include,Sitecore.Publishing.DedicatedInstance.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Platform - Publishing,\website\App_Config\Include,Sitecore.Publishing.EventProvider.Async.config.disabled,config,,Disable,Disable,Disable,Disable,Disable,n/a
Platform - Publishing,\website\App_Config\Include,Sitecore.Publishing.Optimizations.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Platform - Publishing,\website\App_Config\Include,Sitecore.Publishing.Parallel.config.disabled,config,,Disable,Disable,Disable,Disable,Disable,n/a
Platform - Publishing,\website\App_Config\Include,Sitecore.Publishing.Recovery.config.example,example,,n/a,n/a,n/a,n/a,n/a,n/a
Platform - Segments,\website\App_Config\Include,Sitecore.SegmentBuilder.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Platform,\website\App_Config\Include,Sitecore.Services.Client.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Shell.MarketingAutomation.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.AntiCsrf.SheerUI.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.Applications.config,config,,Disable,Enable,Enable,Enable,Enable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.Components.AntiCsrf.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.Components.Mvc.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.Components.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.ContentSearch.Lucene.config,config,Lucene is used,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.ContentSearch.Solr.config.example,example,Solr is used,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.ContentSearch.Azure.config.disabled,config,Azure is used,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.ItemWebApi.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.LaunchPad.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
SPEAK,\website\App_Config\Include,Sitecore.Speak.Mvc.config,config,,Enable,Enable,Disable,Enable,Disable,n/a
Platform,\website\App_Config\Include,Sitecore.WebDAV.config,config,,Disable,Enable,Disable,Enable,Disable,n/a
Marketing Foundation,\website\App_Config\Include,Sitecore.Xdb.config,config,,Enable,Enable,Enable,Enable,Enable,n/a
